ingredeint_id,ingredient_name,ingredient_image_url
1,Semiya,
2,roted,
3,Curd,
4,Mustard,
5,seeds,
6,White,
7,Urad,
8,Dal,
9,Asafoetida,
10,Curry,
11,leaves,
12,Oil,
13,Raw,
14,Peanuts,
15,Curry,
16,leaves,
17,Oil,
18,Chew,
19,nuts,
20,ground,
21,mala,
22,Methi,
23,Seeds,
24,s,
25,Ciander,
26,Seeds,
27,Fennel,
28,seeds,
29,Dry,
30,Red,
31,Chillies,
32,Fresh,
33,coconut,
34,grated,
35,Kuzhambu,
36,Pearl,
37,onions,
38,quartered,
39,cloves,
40,Garlic,
41,fely,
42,chopped,
43,Tomaes,
44,fely,
45,chopped,
46,Potaes,
47,medium,
48,sized,
49,Brjal,
50,wedges,
51,Jaggery,
52,Tamard,
53,Water,
54,Sambar,
55,Powder,
56,seong,
57,Ggelly,
58,oil,
59,Mustard,
60,seeds,
61,Curry,
62,leaves,
63,Dried,
64,Green,
65,Pe,
66,soaked,
67,overnight,
68,Onion,
69,chopped,
70,Fresh,
71,coconut,
72,grated,
73,Dry,
74,Red,
75,Chillies,
76,Ciander,
77,Seeds,
78,Cloves,
79,ch,
80,Tamard,
81,Turmeric,
82,powder,
83,Salt,
84,Mutn,
85,mced,
86,Whole,
87,Eggs,
88,boiled,
89,and,
90,peeled,
91,Onion,
92,fely,
93,chopped,
94,Gger,
95,Garlic,
96,Pte,
97,Red,
98,Chilli,
99,powder,
100,Turmeric,
101,powder,
102,Cum,
103,powder,
104,Ciander,
105,Powder,
106,Salt,
107,Salt,
108,Oil,
109,Water,
110,required,
111,All,
112,Purpose,
113,Flour,
114,Whole,
115,Eggs,
116,beaten,
117,Whole,
118,Wheat,
119,Bread,
120,crumbs,
121,Oil,
122,deep,
123,fryg,
124,Potaes,
125,thly,
126,sliced,
127,Mustard,
128,oil,
129,Turmeric,
130,powder,
131,Rice,
132,flour,
133,mhed,
134,pota,
135,s,
136,Lemon,
137,juice,
138,kera,
139,soaked,
140,water,
141,Salt,
142,Mustard,
143,oil,
144,Panch,
145,Phan,
146,Mala,
147,Green,
148,Chillies,
149,roughly,
150,chopped,
151,Ciander,
152,Leaves,
153,fely,
154,chopped,
155,s,
156,Cooked,
157,rice,
158,Ghee,
159,oil,
160,required,
