recipe_id,ingredient_id,quantity,unit
1,1,,
1,2,1,teaspoon
1,3,2,
1,4,1,teaspoon
1,5,2,
1,6,5,
1,7,,
1,8,2,
1,9,1/4,
1,10,,
1,11,5,
1,12,2,tablespoon
1,13,1,
1,14,1,teaspoon
1,15,1,
1,16,,teaspoon
1,17,1,
1,18,2,
1,19,1/2,tablespoon
2,20,3,
2,21,4,
2,22,1,taste
2,23,,
2,24,500,
2,25,4,
2,26,1,teaspoon
2,27,1,tablespoon
2,28,1,taste
2,29,,tablespoon
2,30,1,
2,31,,
2,32,2,
2,33,1/4,
2,34,,tablespoon
2,35,1,tablespoon
2,36,1,teaspoons
2,37,2,taste
2,38,,
2,39,,teaspoon
2,40,1,teaspoon
2,41,1,
2,42,4,cups
2,43,2,
2,44,,
2,45,1,
2,46,2,teaspoon
2,47,1/2,teaspoon
3,48,1/2,taste
3,49,,teaspoons
3,50,2,taste
3,51,,
3,52,,
1,53,1,
3,54,10,
3,55,1,teaspoon
3,56,1,taste
3,57,,
3,58,,
3,59,,
3,60,1,
1,61,4,
1,62,1,
3,63,2,
3,64,1/2,
3,65,1/4,
3,66,1,teaspoon
3,67,1,taste
3,68,,
3,69,,
3,70,2,teaspoon
3,71,1,
3,72,1,taste
3,73,,
2,74,,pinch
2,75,1,teaspoon
2,76,1/2,
2,77,4,
2,78,1,
2,79,2,
2,80,1,
2,81,5,teaspoon
2,82,1,
2,83,,
3,84,1,
3,85,1,taste
3,86,,
3,87,2,
3,88,,
3,89,,cups
3,90,1,teaspoons
3,91,2,taste
3,92,,
3,93,,teaspoon
3,94,1,
3,95,2,
3,96,1,
3,97,1,teaspoon
3,98,1,tablespoons
3,99,2,
3,100,1,teaspoon
3,101,2,
3,102,15,teaspoon
3,103,1,
3,104,1/4,
3,105,3,
3,106,2,
3,107,,
3,108,,cups
3,109,2,teaspoon
3,110,1/2,teaspoon
3,111,1,
3,112,,
3,113,1/2,taste
3,114,,
3,115,1,
3,116,1,
3,117,1,
3,118,1,
3,119,2,
3,120,1,
3,121,1,
3,122,1,teaspoon
3,123,1/2,teaspoon
4,124,2,teaspoon
4,125,1,teaspoon
4,126,1,taste
4,127,,
4,128,1,
4,129,2,teaspoon
4,130,1,tablespoons
4,131,2,
4,132,,cups
4,133,1,teaspoon
4,134,1/2,teaspoon
4,135,1,
4,136,,cups
4,137,3,teaspoon
4,138,1/2,taste
4,139,,
4,140,1,
4,141,1,
4,142,,tablespoon
4,143,1,
4,144,1,tablespoon
4,145,1,
4,146,2,
4,147,2,
4,148,1,teaspoon
4,149,1,teaspoon
4,150,1,taste
4,151,,
4,152,,
4,153,1/2,
4,154,4,
5,155,20,taste
5,156,,
5,157,1/3,
5,158,,
5,159,1/2,taste
5,160,,
5,161,,teaspoon
5,162,1,
5,163,2,
5,164,2,
5,165,1,
5,166,2,
5,167,12,
5,168,1,teaspoon
5,169,1,
5,170,1,
5,171,,taste
5,172,,
5,173,,
5,174,1/4,
5,175,2,
5,176,4,
5,177,2,
5,178,4,teaspoon
5,179,1,
5,180,,
5,181,,
5,182,1,
5,183,,teaspoon
5,184,1,cups
5,185,1,tablespoons
6,186,2,
6,187,1/2,
6,188,3,
6,189,3,
6,190,,
6,191,1,taste
6,192,,
6,193,1,teaspoon
6,194,1,teaspoon
6,195,1,taste
6,196,,
6,197,,
6,198,,
6,199,2,
6,200,4,
6,201,1,
6,202,250,
6,203,1,
6,204,3,
6,205,2,
6,206,,taste
6,207,,
6,208,,
6,209,3,teaspoon
6,210,1,
6,211,1/4,taste
7,212,,
7,213,,tablespoon
7,214,1,
7,215,1,
7,216,1,
7,217,1,
7,218,1,
7,219,1/2,
7,220,2,pieces
7,221,2,taste
